municipio_codigo;municipio_nombre;municipio_codigo_ine;nuts4_codigo;nuts4_nombre;superficie_km2;densidad_por_km2
902;Valverde de Alcalá;281662;8;Sudeste Comunidad;13.74;31.08
903;Velilla de San Antonio;281678;3;Este Metropolitano;14.37;842.80
904;Vellón (El);281684;6;Sierra Norte;33.49;54.76
905;Venturada;281697;6;Sierra Norte;10.22;198.83
906;Villaconejos;281701;8;Sudeste Comunidad;33.27;100.69
907;Villa del Prado;281718;9;Sudoeste Comunidad;77.27;82.01
908;Villalbilla;281723;8;Sudeste Comunidad;34.72;375.52
909;Villamanrique de Tajo;281739;8;Sudeste Comunidad;29.58;23.46
910;Villamanta;281744;9;Sudoeste Comunidad;63.23;39.40
911;Villamantilla;281757;9;Sudoeste Comunidad;23.92;57.78
912;Villanueva de la Cañada;281760;5;Oeste Metropolitano;34.76;584.58
913;Villanueva del Pardillo;281776;11;Sierra Central;25.43;669.48
914;Villanueva de Perales;281782;9;Sudoeste Comunidad;31.43;48.33
915;Villar del Olmo;281795;8;Sudeste Comunidad;27.78;71.89
916;Villarejo de Salvanés;281809;8;Sudeste Comunidad;119.00;60.88
917;Villaviciosa de Odón;281816;5;Oeste Metropolitano;68.20;403.28
918;Villavieja del Lozoya;281821;6;Sierra Norte;23.30;11.46
919;Zarzalejo;281837;10;Sierra Sur;20.18;79.09
